iter	Passed	Remaining
186	391	1700
187	393	1698
188	395	1696
189	397	1693
190	399	1690
191	401	1688
192	403	1686
193	405	1684
194	407	1681
195	409	1679
196	411	1677
197	413	1674
198	415	1671
199	417	1669
200	419	1667
201	421	1664
202	423	1661
203	425	1659
204	427	1656
205	429	1653
206	431	1652
207	433	1649
208	435	1647
209	437	1644
210	439	1642
211	441	1641
212	443	1638
213	445	1636
214	447	1633
215	449	1631
216	451	1629
217	453	1626
218	455	1624
219	457	1621
220	459	1619
221	461	1617
222	463	1616
223	465	1613
224	467	1611
225	470	1609
226	472	1607
227	474	1604
228	475	1602
229	477	1600
230	480	1598
231	482	1595
232	484	1593
233	486	1591
234	488	1588
235	490	1587
236	492	1585
237	494	1583
238	496	1580
239	498	1578
240	500	1577
241	502	1575
242	504	1572
243	506	1570
244	509	1568
245	511	1566
246	512	1563
247	514	1561
248	517	1559
249	519	1557
250	521	1555
251	523	1553
252	525	1550
253	527	1548
254	529	1546
255	531	1544
256	533	1541
257	535	1539
258	537	1538
259	539	1535
260	541	1533
261	543	1530
262	545	1528
263	547	1526
264	549	1524
265	551	1521
266	553	1519
267	555	1517
268	557	1515
269	559	1513
270	561	1510
271	563	1508
272	565	1506
273	567	1504
274	569	1502
275	571	1499
276	573	1497
277	576	1496
278	578	1494
279	580	1491
280	582	1489
281	584	1487
282	586	1485
283	588	1483
284	590	1480
285	592	1478
286	594	1476
287	596	1474
288	598	1471
289	600	1469
290	602	1467
291	604	1464
292	606	1463
293	608	1461
294	610	1459
295	612	1456
296	614	1454
297	616	1452
298	618	1450
299	620	1448
300	622	1445
301	624	1443
302	626	1441
303	628	1439
304	630	1436
305	632	1434
306	634	1433
307	636	1430
308	638	1428
309	640	1426
310	642	1423
311	645	1422
312	647	1420
313	649	1417
314	650	1415
315	653	1413
316	655	1412
317	657	1409
318	659	1407
319	661	1405
320	663	1403
321	665	1401
322	667	1398
323	669	1396
324	671	1394
325	673	1392
326	675	1390
327	677	1388
328	679	1385
329	681	1383
330	683	1381
331	685	1379
332	687	1377
333	689	1374
334	691	1372
335	693	1370
336	695	1368
337	697	1366
338	699	1363
339	701	1361
340	703	1359
341	705	1357
342	707	1355
343	709	1353
344	711	1351
345	714	1349
346	716	1347
347	718	1345
348	720	1343
349	722	1341
350	724	1339
351	726	1336
352	728	1334
353	730	1332
354	732	1330
355	734	1328
356	736	1326
357	738	1323
358	740	1321
359	742	1319
360	744	1317
361	746	1315
362	748	1313
363	750	1311
364	752	1309
365	754	1307
366	756	1304
367	758	1302
368	760	1300
369	762	1298
370	764	1296
371	766	1294
372	768	1292
373	770	1290
374	772	1288
375	774	1286
376	776	1283
377	778	1281
378	780	1279
379	782	1277
380	784	1275
381	786	1272
382	788	1270
383	790	1268
384	792	1266
385	794	1264
386	796	1262
387	798	1260
388	801	1258
389	803	1256
390	805	1254
391	807	1252
392	809	1250
393	811	1248
394	814	1246
395	816	1245
396	819	1244
397	821	1242
398	823	1240
399	825	1238
400	828	1236
401	830	1234
402	832	1232
403	834	1230
404	836	1228
405	839	1227
406	841	1226
407	843	1224
408	846	1222
409	848	1221
410	850	1219
411	853	1217
412	855	1215
413	857	1214
414	859	1211
415	861	1210
416	864	1207
417	865	1205
418	868	1204
419	870	1201
420	872	1199
421	874	1197
422	876	1195
423	878	1193
424	880	1191
425	882	1189
426	884	1187
427	886	1185
428	888	1182
429	890	1180
430	892	1178
431	894	1176
432	896	1174
433	898	1171
434	900	1169
435	902	1167
436	904	1165
437	906	1163
438	908	1161
439	910	1158
440	912	1156
441	914	1154
442	916	1152
443	918	1150
444	920	1148
445	922	1146
446	924	1144
447	927	1142
448	929	1140
449	931	1137
450	932	1135
451	935	1133
452	937	1131
453	939	1129
454	941	1127
